ean,sku,quantity,price,condition,notes,seller
9780130858894,BSJ-01-0226,1,3.43,Acceptable,,St Vincent De Paul
9780670841295,BSBOS-J-01j-00126,1,1.90,Good,,More Than Words
9781592537075,BSSWM-020-638:SWM,2,98.95,Good,1st Edition. Used books are NOT guaranteed to contain components and/or supplements such as: Access Codes or working CD's/DVD's! Ships fast! Expedited shipping 2-4 business days; Standard shipping 7-14 business days. Ships from USA!,Texas Enterprise
9780595283729,BS353787,1,4.49,Good,"Trade paperback. Like new; no internal markings; has only lost its Brand New shine. No pricing stickers. No remainder mark. From a smoking home, may exhibit a faint odour of tobacco smoke. Stored in sealed plastic protection. In the event of a problem we guarantee full refund. 2003. Trade paperback.",BookZoneUSA
9780553802023,BSBOS-E-09g-00052,1,1.46,Good,,More Than Words
9780252004483,BS700418,1,6.50,Like New,Hardcover w / dustjacket. Like new; no internal markings; has only lost its Brand New shine. No pricing stickers. No remainder mark. Dj nearly fine; no priceclip. Stored in sealed plastic protection. In the event of a problem we guarantee full refund. 1975. Hardcover w / dustjacket.,BookZoneUSA
9780961216412,BSU-06-1259,1,1.99,Acceptable,"Paperback The item is fairly worn but still readable. Signs of wear include aesthetic issues such as scratches, worn covers, damaged binding. The item may have identifying markings on it or show other signs of previous use. May have page creases, creased spine, bent cover or markings inside. Packed with care, shipped promptly.",St Vincent De Paul
9780815621973,BSBOS-E-09g-00060,1,1.14,Acceptable,,More Than Words
9780558777869,BSTEX-552-00114:CODE,26,4.95,New,Unused and clean copy!,BBA Corporation
9780345313577,BSBOS-E-09g-00057,1,0.77,Good,,More Than Words
9781428318243,BSKCC-LWT-196-13220:RN,2,54.30,New,Unused and clean copy!,BBA Corporation
9780961762698,BSU-06-1260,1,6.68,Acceptable,"Paperback The item is fairly worn but still readable. Signs of wear include aesthetic issues such as scratches, worn covers, damaged binding. The item may have identifying markings on it or show other signs of previous use. May have page creases, creased spine, bent cover or markings inside. Packed with care, shipped promptly.",St Vincent De Paul
9781560542629,BSBOS-E-09g-00064,1,0.89,Acceptable,,More Than Words
9780253202505,BSBOS-E-09h-00036,1,11.40,Good,,More Than Words
9780393001600,BSBOS-E-09g-00069,1,0.99,Good,,More Than Words
9781615810215,BSX-005-0544,1,3.74,Good,"Paperback This item shows wear from consistent use but remains in good readable condition. It may have marks on or in it, and may show other signs of previous use or shelf wear. May have minor creases or signs of wear on dust jacket. Packed with care, shipped promptly.",St Vincent De Paul
9780060961992,BS900879,1,4.49,Very Good,"Trade paperback. Very good condition; edges, corners, and covers of book show minor wear. No underlining; no highlighting; no internal markings. Stored in sealed plastic protection. In the event of a problem we guarantee full refund. 1987. Trade paperback.",BookZoneUSA
9781565480742,BSS-35294,1,4.49,New,Trade paperback. NEW. Stored in sealed plastic protection. No pricing stickers. No remainder mark. No previous owner's markings. In the event of a problem we guarantee full refund. 1993 Trade paperback.,BookZoneUSA
9780844741758,BSX-051-0455,1,2.85,Good,"Hardcover good This item shows wear from consistent use but remains in good readable condition. It may have marks on or in it, and may show other signs of previous use or shelf wear. May have minor creases or signs of wear on dust jacket. Packed with care, shipped promptly.",St Vincent De Paul
9780253200365,BSWAL-E-2b-000276,1,0.05,Good,"A sound copy with only light wear. Overall a solid copy at a great price! All orders guaranteed and ship within 24 hours. Your purchase supports More Than Words, a nonprofit job training program for youth, empowering youth to take charge of their lives by taking charge of a business.",More Than Words
9781484720974,BSBOS-E-09i-00100,1,0.52,Good,,More Than Words
9781888848052,BS353808,1,4.49,Good,"Trade paperback. Near Fine condition; edges, corners, and covers of book show very minor wear. No underlining; no highlighting; no internal markings. No pricing stickers. No remainder mark. From a smoking home, may exhibit a faint odour of tobacco smoke. Stored in sealed plastic protection. In the event of a problem we guarantee full refund. 1996. Trade paperback.",BookZoneUSA
9780486802572,BSBOS-E-09h-00071,1,0.99,Good,,More Than Words
9780060930783,BS353887,1,4.49,Like New,Trade paperback. Like new; no internal markings; has only lost its Brand New shine. No pricing stickers. No remainder mark. Stored in sealed plastic protection. In the event of a problem we guarantee full refund. 2001. Trade paperback.,BookZoneUSA
9780671622381,BS201294,1,4.49,Very Good,"Trade paperback. Very good condition; edges, corners, and covers of book show minor wear. No underlining; no highlighting; no internal markings. Crease to lower rear corner of cover. Stored in sealed plastic protection. In the event of a problem we guarantee full refund. 1986. Trade paperback.",BookZoneUSA
9781423103349,BSJER-000609756,6,2.41,Good,,Goodwill NY NJ
9781259732805,BSKCC-CTN-113-01218:BIG,1,74.44,Good,Brand new. Unused and clean copy!,BBA Corporation
9781446302477,BS8-B-3-1064,1,15.13,Good,Item shows wear very readable,Goodwill San Antonio
9780865652170,BS5-B-1-0838,1,18.66,Good,Item shows wear on dust cover,Goodwill San Antonio
9781305105423,BSBEE-039-526t,1,104.45,Good,"6th Edition Hardcover good used book, ships very fast!!, used books cannot guarantee unused access codes or working CDs, ships fast, choose expedited for quicker shiping, ships from U.S.A.",Textbook Corner
9780316106665,BSJER-000612710,1,2.65,Good,,Goodwill NY NJ
9780804170086,BSJER-000613527,1,2.41,Good,,Goodwill NY NJ
9780132619301,BSSWM-020-645:SWM,1,79.65,Good,11th Edition. Used books are NOT guaranteed to contain components and/or supplements such as: Access Codes or working CD's/DVD's! Ships fast! Expedited shipping 2-4 business days; Standard shipping 7-14 business days. Ships from USA!,Texas Enterprise
9780802115607,BSX-024-0189,1,2.47,Acceptable,"Hardcover Acceptable The item is fairly worn but still readable. Signs of wear include aesthetic issues such as scratches, worn covers, damaged binding. The item may have identifying markings on it or show other signs of previous use. May have page creases, creased spine, bent cover or markings inside. Packed with care, shipped promptly.",St Vincent De Paul
9781442412866,BS15-E-002183,3,0.80,Acceptable,"A book with obvious wear. May have some damage to the cover or binding but integrity is still intact. There might be writing in the margins, possibly underlining and highlighting of text, but no missing pages or anything that would compromise the legibility or understanding of the text.",Goodwill Central Texas
9781319048983,BSBEE-039-540,2,10.62,Good,"2nd Edition Paperback good used book, ships very fast!!, used books cannot guarantee unused access codes or working CDs, ships fast, choose expedited for quicker shiping, ships from U.S.A.",Textbook Corner
9781556591006,BSBOS-E-09i-00101,1,1.52,Good,,More Than Words
9780870002465,BSG-05--0823,1,4.22,Acceptable,"Dust jacket in Acceptable Condition. Copy is in rough condition. Hardcover The item is fairly worn but still readable. Signs of wear include aesthetic issues such as scratches, worn covers, damaged binding. The item may have identifying markings on it or show other signs of previous use. May have page creases, creased spine, bent cover or markings inside. Packed with care, shipped promptly.",St Vincent De Paul
9781442494879,BSBOS-E-10e-00090,2,0.56,Good,,More Than Words
9780860249627,BSBOS-E-10d-00079,1,1.44,Good,,More Than Words
9781592966455,BSBOS-E-10e-00093,1,0.76,Good,,More Than Words
9780762743162,BSBOS-E-10d-00082,1,0.76,Good,,More Than Words
9780321840530,BSKCC-RTN-157-08365`j:BIG,1,10.71,Good,Text only. Used books cannot guarantee unused access codes or working CD's!,BBA Corporation
9780813609775,BS388907,2,5.27,New,Children's Readers. NEW. Stored in sealed plastic protection. No pricing stickers. No remainder mark. No previous owner's markings. In the event of a problem we guarantee full refund. 1901 Children's Readers.,BookZoneUSA
9781877678066,BSS-35295,2,4.49,New,Trade paperback. NEW. Stored in sealed plastic protection. No pricing stickers. No remainder mark. No previous owner's markings. In the event of a problem we guarantee full refund. 1997 Trade paperback.,BookZoneUSA
9780375838972,BSBOS-E-10d-00085,1,0.77,Acceptable,,More Than Words
9780852291634,BS26-A-0093,1,2.75,Good,Prompt shipping. No Dust Jacket Cover has some wear from use. Hardcover Used - Good.,Opportunity House
9780132890410,BSBZ-CHDM-352-04793:BIG,9,45.50,Acceptable,Book is worn. Used books cannot guarantee unused access codes or working CD's!,BBA Corporation
9781462513673,BS1000004999067-6084,1,75.22,New,Ships same or next business day with delivery confirmation. Brand New. Expedited shipping available.,Tree of Life Books
9780671523077,BSBOS-E-10g-00062,1,0.47,Acceptable,,More Than Words
9780821722374,BS511844,1,4.73,Very Good,"Mass Market pb. Very good condition; edges, corners, and covers of book show minor wear. No underlining; no highlighting; no internal markings. Very slight spine creasing. Stored in sealed plastic protection. In the event of a problem we guarantee full refund. 1987. Mass Market pb.",BookZoneUSA
9780684838267,BSBOS-D-04f-00318,1,0.01,Good,"A sound copy with only light wear. Overall a solid copy at a great price! All orders guaranteed and ship within 24 hours. Your purchase supports More Than Words, a nonprofit job training program for youth, empowering youth to take charge of their lives by taking charge of a business.",More Than Words
9780262028363,BSBOS-F-13a-00185,17,1.88,Like New,"purchase supports More Tha
n Words, a nonprofit job training program for youth, empowering youth to take charge of their lives by taking charge of a business.",More Than Words
9780151119325,BSBOS-E-10g-00065,1,1.52,Good,,More Than Words
9780736075374,BSKCC-LWT-189-12445:BIG,4,41.88,Good,Unused and clean copy!,BBA Corporation
9780415772860,BSKCC-LWT-206-09663:RN,1,46.02,Good,Used books cannot guarantee unused access codes or working CD's!,BBA Corporation
9780195212709,BS357458,1,14.00,Like New,Oversize Hardcover with DJ. Like new; no internal markings; has only lost its Brand New shine. No pricing stickers. No remainder mark. DJ is nearly fine. Stored in sealed plastic protection. In the event of a problem we guarantee full refund. 1997. Oversize Hardcover with DJ.,BookZoneUSA
9781506347493,BS1000005034588-8160,1,100.55,New,Ships same or next business day with delivery confirmation. Brand New. Expedited shipping available.,Tree of Life Books
9781462506460,BSKCC-LWT-206-09712:RN,1,44.58,Good,Used books cannot guarantee unused access codes or working CD's!,BBA Corporation
9780739903957,BSJ-05-0876,1,9.09,Acceptable,"Paperback The item is fairly worn but still readable. Signs of wear include aesthetic issues such as scratches, worn covers, damaged binding. The item may have identifying markings on it or show other signs of previous use. May have page creases, creased spine, bent cover or markings inside. Packed with care, shipped promptly.",St Vincent De Paul
9780538487931,BSBZ-551-04804:CODE,6,49.95,New,Unused and clean copy!,BBA Corporation
9781441305602,BS11-D-4-0467,1,8.64,Good,Goodwill helps change lives through the power of work,Goodwill San Antonio
9780199873609,BSKCC-LWT-220-07563:BIG,1,30.78,Good,Book shows some wear. Used books cannot guarantee unused access codes or working CD's!,BBA Corporation
